House_Name,Location,Municipality,House_type,Release_form,Rooms,Floor,Total_no_Floors,Lift,Balcony,Living_area,Plot_area,Other_area,Built_on,Charge,Operating_cost,Sold_date,Starting_price,Price_Change,Final_Price
"Bäckvägen 133",Hägerstensåsen,Stockholm,Lägenhet,Bostadsrätt,2,2,4,No,Yes,43,0,0,1900-1950,3570.00,5500.00,2024-05-29,2.50,0.16,2.34
"Tullingebergsvägen 3",Tullinge,Botkyrk,Lägenhet,Bostadsrätt,3,2,0,No,Yes,68.5,0,0,1951-2000,4182.00,6360.00,2024-05-29,1.70,0.16,1.54
"Tollareslingan 50",Tollare,Nack,Lägenhet,Bostadsrätt,3,1,4,Yes,Yes,76,0,0,2011-present,6789.00,3840.00,2024-05-29,3.80,0.01,3.79
"Sågenvägen 16",Österhaninge,Haning,Lägenhet,Bostadsrätt,2,2,3,Yes,Yes,63,0,0,1951-2000,3949.00,6360.00,2024-05-29,1.80,0.01,1.79
"Lingvägen 101",Gubbängen,Stockholm,Lägenhet,Bostadsrätt,2,1,3,No,Yes,60,0,0,1951-2000,3166.00,6360.00,2024-05-29,2.50,0.13,2.37
"Kvillegatan 15",CentralaHisingen,Göteborg,Lägenhet,Bostadsrätt,3,1,7,Yes,Yes,65,0,0,2011-present,3936.00,8400.00,2024-05-29,2.90,0.17,2.73
"Sjödalsvägen 26",CentralaHuddinge,Hudding,Lägenhet,Bostadsrätt,3,4,0,Yes,Yes,79,0,0,1951-2000,6266.00,4500.00,2024-05-29,3.40,0.26,3.14
"Förrådsvägen 40",CentralaHuddinge,Hudding,Lägenhet,Bostadsrätt,1,1,0,Yes,No,34,0,0,2011-present,3289.00,4500.00,2024-05-29,1.77,0.06,1.71
"Kanikenäsbanken 23A",YttreHamn(kanikenäsholmen),Karlstad,Lägenhet,Bostadsrätt,2,10,12,Yes,Yes,55,0,0,2011-present,3428.00,2760.00,2024-05-29,2.50,0.00,2.50
"Engelbrekts väg 16",Tureberg,Sollentun,Lägenhet,Bostadsrätt,2,4,6,Yes,Yes,51.5,0,0,2001-2010,3714.00,3000.00,2024-05-29,2.60,0.05,2.55
"Rådmansgatan 37",Vasastan,Stockholm,Lägenhet,Bostadsrätt,1,2,5,Yes,No,26,0,0,1900-1950,1916.00,8150.00,2024-05-29,2.75,0.30,2.45
"Jaktvägen 77",Bollstanäs,UpplandsVäsb,Lägenhet,Bostadsrätt,3,2,2,No,Yes,76,0,0,1951-2000,5405.00,18900.00,2024-05-29,2.00,-0.10,2.09
"Gnejsvägen 64",Kolla,Kungsback,Lägenhet,Bostadsrätt,4,5,5,Yes,Yes,131,0,0,2011-present,7727.00,7300.00,2024-05-29,7.00,-0.05,7.05
"Korpstigen 2C, bv",Bro,Upplands-Bro,Lägenhet,Bostadsrätt,2,1,2,No,Yes,50,0,0,2001-2010,3668.00,4500.00,2024-05-29,1.55,0.00,1.55
"Wiboms väg 8, vån 6",VästraSkogen,Soln,Lägenhet,Bostadsrätt,4,6,10,Yes,Yes,94,0,0,2011-present,2594.00,6360.00,2024-05-29,4.80,0.89,3.91
"Kungstensgatan 46",Vasastan,Stockholm,Lägenhet,Bostadsrätt,2,4,6,Yes,Yes,60,0,0,1951-2000,1490.00,16344.00,2024-05-29,6.40,0.51,5.89
"Karlslundsvägen 12",Barkarbystaden,Järfäll,Lägenhet,Bostadsrätt,1,2,5,Yes,Yes,37,0,0,2011-present,2535.00,2700.00,2024-05-29,2.10,-0.12,2.22
"Tulegatan 32A",Vasastan,Stockholm,Lägenhet,Andelibostadsförening,2,2,5,Yes,No,38,0,0,1900-1950,2136.00,4800.00,2024-05-29,4.30,0.39,3.91
"Kungsgatan 52B",Centrum,Örebr,Lägenhet,Bostadsrätt,3,2,4,No,No,84.5,0,0,1900-1950,7324.00,6000.00,2024-05-29,2.60,-0.17,2.77
"Furuhöjd 17",Älvängen,Al,Lägenhet,Bostadsrätt,1,0,2,No,Yes,38,0,0,2011-present,1500.00,6360.00,2024-05-29,1.30,0.11,1.19
"Flygfältsvägen 13",Barkarbystaden,Järfäll,Lägenhet,Bostadsrätt,3,4,5,Yes,Yes,67,0,0,2011-present,2594.00,6360.00,2024-05-29,2.60,-0.05,2.64
"Kung Kristians väg 6A",Kungahusen,Trelleborg,Lägenhet,Bostadsrätt,3,2,3,No,Yes,82,0,0,1951-2000,6608.00,5004.00,2024-05-29,1.50,0.06,1.44
"Luleåvägen 91",Granloholm,Sundsvall,Lägenhet,Bostadsrätt,2,2,2,No,Yes,72.5,0,0,1951-2000,5173.00,6360.00,2024-05-29,0.60,0.03,0.57
"Västergårdsgatan 13",Västergård,Helsingborg,Lägenhet,Bostadsrätt,3,2,3,Yes,Yes,79,0,0,1951-2000,6177.00,6360.00,2024-05-29,0.90,-0.07,0.96
"Bärnstensgatan 26",Ättekulla,Helsingborg,Lägenhet,Bostadsrätt,2,4,7,Yes,Yes,57,0,0,1951-2000,4158.00,4200.00,2024-05-29,1.48,-0.04,1.51
"Sibyllegatan 50B",Östermalm,Stockholm,Lägenhet,Bostadsrätt,3,3,0,Yes,No,72,0,0,"Before 1900s",2972.00,6360.00,2024-05-29,9.75,0.65,9.10
"Söderbytorpsgatan 2",Vendelsö,Haning,Lägenhet,Bostadsrätt,2,1,1,No,Yes,55,0,0,1951-2000,4708.00,5400.00,2024-05-29,1.70,-0.05,1.74
"Sveavägen 138, 5tr",Vasastan,Stockholm,Lägenhet,Bostadsrätt,3,5,7,Yes,Yes,74,0,0,1900-1950,2875.00,6360.00,2024-05-29,7.70,0.00,7.70
"Bandtraktorgatan 2",Angered,Göteborg,Lägenhet,Bostadsrätt,2,1,4,Yes,Yes,55,0,0,2011-present,3833.00,7200.00,2024-05-29,1.55,0.00,1.55
"Räntmästaregatan 21B",Lunden,Göteborg,Lägenhet,Bostadsrätt,3,4,4,No,Yes,60,0,0,1900-1950,4942.00,6360.00,2024-05-29,3.50,0.31,3.19
"Karlbergsvägen 27B",Vasastan,Stockholm,Lägenhet,Bostadsrätt,2,3,4,No,Yes,67,0,0,"Before 1900s",2924.00,8300.00,2024-05-29,7.50,-0.08,7.58
"Åkerbyvägen 92, 10 Tr",TäbyCentrum,Täb,Lägenhet,Bostadsrätt,2,10,16,Yes,No,54,0,0,1951-2000,3356.00,3900.00,2024-05-29,2.40,0.06,2.34
"Kullagatan 58",Centrum,Helsingborg,Lägenhet,Bostadsrätt,5,2,6,Yes,Yes,125,0,0,1900-1950,6382.00,9600.00,2024-05-29,4.30,0.00,4.30
"Ågesta broväg 46",Farsta,Stockholm,Lägenhet,Bostadsrätt,2,3,4,Yes,Yes,43,0,0,2011-present,3423.00,4656.00,2024-05-29,2.25,0.13,2.13
"Luthagsesplanaden 34 B",Luthagen,Uppsal,Lägenhet,Bostadsrätt,1,3,5,Yes,Yes,44,0,0,1900-1950,3008.00,4200.00,2024-05-29,2.10,-0.05,2.14
"Majorsgatan 6",Östermalm,Stockholm,Lägenhet,Bostadsrätt,3,3,4,Yes,No,75,0,0,1900-1950,523.00,6360.00,2024-05-29,9.98,-0.14,10.11
"Jarlvägen 6A",Hedslund,Rättvik,Lägenhet,Bostadsrätt,1,1,3,No,No,47.5,0,0,1951-2000,3385.00,6360.00,2024-05-29,0.52,-0.01,0.53
"Storängsvägen 9A",Centralt,Österåker,Lägenhet,Bostadsrätt,1,3,3,No,No,39.3,0,0,1951-2000,3384.00,6600.00,2024-05-29,1.40,0.07,1.33
"Sickla kanalgata 56",HammarbySjöstad,Stockholm,Lägenhet,Bostadsrätt,3,5,5,Yes,Yes,90.5,0,0,2001-2010,6292.00,5928.00,2024-05-29,9.00,0.11,8.89
"Kabelgatan 15C",Majorna,Göteborg,Lägenhet,Bostadsrätt,4,3,4,No,Yes,103,0,0,1951-2000,6873.00,9156.00,2024-05-29,4.45,1.15,3.30
"Kungsberget 4",Tannefors,Linköping,Lägenhet,Bostadsrätt,2,1,0,Yes,Yes,57.2,0,0,1900-1950,3514.00,4800.00,2024-05-29,1.30,0.31,0.99
