House_Name,Location,Municipality,House_type,Release_form,Rooms,Floor,Total_no_Floors,Lift,Balcony,Living_area,Plot_area,Other_area,Built_on,Charge,Operating_cost,Sold_date,Starting_price,Price_Change,Final_Price
"Benvägen 27",Bjurhovda,Västerå,Lägenhet,Bostadsrätt,2,4,4,Yes,No,46,0,0,1951-2000,4142.00,5400.00,2024-05-29,0.50,-0.03,0.53
"Karlbergsvägen 29B",Vasastaden,Stockholm,Lägenhet,Bostadsrätt,3,2,5,Yes,No,95,0,0,"Before 1900s",4570.00,1020.00,2024-05-29,10.00,1.11,8.89
"Ponnygatan 6D",Åby,Mölndal,Lägenhet,Bostadsrätt,2,1,0,No,No,59.5,0,0,1951-2000,4990.00,7188.00,2024-05-29,2.00,0.11,1.89
"Vikingsgatan 3",Tågaborg,Helsingborg,Lägenhet,Bostadsrätt,6,1,4,No,No,131.5,0,0,1900-1950,4947.00,7200.00,2024-05-29,5.40,-0.20,5.59
"Trestegsgatan 91",Ektorp,Norrköping,Lägenhet,Bostadsrätt,1,1,3,No,No,61,0,0,2011-present,2594.00,6360.00,2024-05-29,1.20,0.08,1.12
"Sveavägen 2B",CentralÖster,Örebr,Lägenhet,Bostadsrätt,2,4,5,Yes,No,72,0,0,1951-2000,5044.00,5688.00,2024-05-29,1.50,-0.02,1.51
"Stallvägen 94",Bohuslän,LillaEdet,Lägenhet,Bostadsrätt,2,1,0,No,No,64.2,0,0,2011-present,23424.00,6360.00,2024-05-29,1.15,0.14,1.02
"Ålstensgatan 24",Ålsten,Stockholm,Lägenhet,Bostadsrätt,2,1,2,No,No,40,0,0,1900-1950,4200.00,6360.00,2024-05-29,4.40,-0.10,4.49
"Knektegårdsgatan 51A",Brogården,Alingså,Lägenhet,Bostadsrätt,2,1,0,No,No,41,0,0,2011-present,2594.00,6360.00,2024-05-29,1.28,0.00,1.28
"Edövägen 14C",VästraOrminge,Nack,Lägenhet,Bostadsrätt,3,2,2,No,No,90,0,0,1951-2000,6256.00,9252.00,2024-05-29,2.80,0.05,2.75
"Karlskogavägen 15A",Irisdal,Kristinehamn,Lägenhet,Bostadsrätt,3,1,3,No,No,78,0,0,1951-2000,5109.00,6000.00,2024-05-29,1.00,0.00,1.00
"Stafettgatan 4C",Lunden,Göteborg,Lägenhet,Bostadsrätt,1,3,4,No,No,35,0,0,1900-1950,2973.00,6360.00,2024-05-29,2.00,0.00,2.00
"Heleneborgsgatan 20",SödermalmHögalid,Stockholm,Lägenhet,Bostadsrätt,1,0,0,No,No,25,0,0,2011-present,3600.00,6360.00,2024-05-29,2.50,0.21,2.29
"Myren 229",Käringön,Orus,Lägenhet,Bostadsrätt,1,1,2,No,No,35,0,0,2011-present,4326.00,3000.00,2024-05-29,2.35,-0.05,2.40
"Uppfartsvägen 8",Råsunda,Soln,Lägenhet,Bostadsrätt,2,0,0,No,No,30,0,0,2011-present,2594.00,6360.00,2024-05-29,2.70,0.36,2.34
"Tångvägen 22",Telefonplan,Stockholm,Lägenhet,Bostadsrätt,2,1,3,No,No,42.5,0,0,2011-present,2594.00,6360.00,2024-05-29,2.20,0.51,1.69
"Dalagatan 70 A",Vasastan,Stockholm,Lägenhet,Bostadsrätt,2,1,0,No,No,44,0,0,"Before 1900s",2661.00,12600.00,2024-05-29,5.50,0.53,4.98
"Strålgatan 8",LillaEssingen,Stockholm,Lägenhet,Bostadsrätt,3,0,0,No,No,60,0,0,2011-present,2594.00,6360.00,2024-05-29,7.00,0.86,6.14
"Skedviksvägen 10",Årsta,Stockholm,Lägenhet,Bostadsrätt,3,1,0,No,No,63.5,0,0,2011-present,9900.00,6360.00,2024-05-29,3.50,0.53,2.97
"Korsängsvägen 8c",Rimbo,Norrtälj,Lägenhet,Bostadsrätt,2,1,2,No,No,34,0,0,2011-present,3586.00,11976.00,2024-05-28,1.05,-0.03,1.08
"Dragarbrunnsgatan 58",Centrum,Uppsal,Lägenhet,Bostadsrätt,3,4,6,Yes,No,80,0,0,1951-2000,4184.00,4968.00,2024-05-28,2.60,0.16,2.44
"Sjunde Tvärgatan 9",Havsbaden,Ängelholm,Lägenhet,Bostadsrätt,3,0,0,No,No,48,0,0,2011-present,2594.00,6360.00,2024-05-28,3.20,-0.10,3.29
"Centralvägen 9",Centrum,Vallentun,Lägenhet,Bostadsrätt,2,3,3,No,No,64,0,0,1900-1950,3936.00,7788.00,2024-05-28,2.30,0.03,2.27
"Hälsovägen 5",Norr,Helsingborg,Lägenhet,Bostadsrätt,3,2,5,Yes,No,110,0,0,1900-1950,7966.00,6360.00,2024-05-28,3.00,-0.20,3.19
"Ställverksvägen 21",Ställverket,Karlshamn,Lägenhet,Bostadsrätt,1,2,3,No,No,40,0,0,1951-2000,2799.00,1512.00,2024-05-28,0.45,-0.05,0.50
"Flygkårsvägen 43A",Hägernäs,Täb,Lägenhet,Bostadsrätt,2,0,0,No,No,54.3,0,0,2011-present,2028.00,6360.00,2024-05-28,1.80,0.00,1.80
"Säterivägen 21",Bromma/Mariehäll,Stockholm,Lägenhet,Bostadsrätt,4,0,0,No,No,63,0,0,2011-present,2594.00,6360.00,2024-05-28,4.30,0.11,4.19
"Wennerbergsvägen 18c",GamlaStaden,Lidköping,Lägenhet,Bostadsrätt,2,1,3,Yes,No,61,0,0,1900-1950,4724.00,5000.00,2024-05-28,0.48,-0.03,0.50
"S:t Hansgatan 35",VisbyInnerstad,Gotland,Lägenhet,Bostadsrätt,5,0,0,No,No,139,0,0,2011-present,2594.00,6360.00,2024-05-28,7.50,0.50,7.00
"Köpenhamnsvägen 15 A",Slottsstaden/Erikslust,Malm,Lägenhet,Bostadsrätt,4,4,0,Yes,No,88.5,0,0,1951-2000,6038.00,6809.00,2024-05-28,3.50,0.00,3.50
"Alörsgatan 2",Centralt,Östhammar,Lägenhet,Bostadsrätt,3,4,4,Yes,No,81,0,0,2011-present,5629.00,6000.00,2024-05-28,2.85,0.00,2.85
"Norrtäljegatan 32",Fålhagen,Uppsal,Lägenhet,Bostadsrätt,2,1,2,No,No,53,0,0,1900-1950,4285.00,5040.00,2024-05-28,2.00,0.21,1.79
"Kyrkogatan 36 D",Triangeln,Kirun,Lägenhet,Bostadsrätt,3,1,4,No,No,70.4,0,0,1951-2000,7051.00,4200.00,2024-05-28,0.95,0.02,0.93
"Ponnygatan 6D",Broslätt,Mölndal,Lägenhet,Bostadsrätt,2,0,3,No,No,68.5,0,0,2011-present,7344.00,6360.00,2024-05-28,1.85,-0.21,2.05
"Litteraturgatan 218",HisingsBacka,Göteborg,Lägenhet,Bostadsrätt,4,6,6,Yes,No,83,0,0,2011-present,5547.00,4500.00,2024-05-28,3.15,-0.21,3.36
"Risingevägen 14",Öster,Växj,Lägenhet,Bostadsrätt,2,2,3,No,No,66,0,0,2011-present,11280.00,6360.00,2024-05-28,1.90,-0.10,2.00
"Römossevägen 11",Tullingecentralt,Botkyrk,Lägenhet,Bostadsrätt,3,4,4,Yes,No,75.5,0,0,2001-2010,6126.00,6000.00,2024-05-28,2.50,-0.10,2.60
"Sjömansgatan 17A",Skelleftehamn,Skellefte,Lägenhet,Bostadsrätt,2,1,3,No,No,56.5,0,0,1951-2000,4094.00,3120.00,2024-05-28,1.00,0.00,1.00
"Vasavägen 6, vån 2",Råsunda,Soln,Lägenhet,Bostadsrätt,1,2,6,Yes,No,25,0,0,1951-2000,1862.00,11576.00,2024-05-28,1.90,0.33,1.57
"Upplandsgatan 11",Vasastan,Stockholm,Lägenhet,Bostadsrätt,3,0,0,No,No,59,0,0,2011-present,2594.00,6360.00,2024-05-28,8.15,1.22,6.93
"Månstorpsvägen 8",Tullinge,Botkyrk,Lägenhet,Bostadsrätt,1,3,3,No,No,40,0,0,1951-2000,2686.00,3600.00,2024-05-28,1.40,0.01,1.39
"Ringvägen 6",Västerhaninge/Åby,Haning,Lägenhet,Bostadsrätt,3,3,3,No,No,78,0,0,1951-2000,6298.00,5700.00,2024-05-28,1.48,0.00,1.48
"Bäckvägen 83",Hägerstensåsen,Stockholm,Lägenhet,Bostadsrätt,2,2,2,No,No,44,0,0,1900-1950,3763.00,6360.00,2024-05-28,2.70,0.36,2.34
"Rådhusgatan 61D",Söder,Östersund,Lägenhet,Bostadsrätt,2,1,3,No,No,65,0,0,2011-present,7440.00,6360.00,2024-05-28,1.38,-0.03,1.40
"Murtegelvägen 9",Oxie,Malm,Lägenhet,Bostadsrätt,3,0,0,No,No,97,0,0,2011-present,2594.00,6360.00,2024-05-28,2.00,-0.15,2.14
"Uppegårdsvägen 60",Stenungsund,Stenungsund,Lägenhet,Bostadsrätt,2,3,3,No,No,63.5,0,0,1951-2000,5479.00,1632.00,2024-05-28,1.50,-0.05,1.54
"Gamla Skärgårdsvägen 6",Gustavsberg,Värmd,Lägenhet,Bostadsrätt,3,1,5,Yes,No,81,0,0,2011-present,6120.00,6360.00,2024-05-28,4.90,0.01,4.89
"Engelbrektsgatan 25",Vråen/Släggan,Värnam,Lägenhet,Bostadsrätt,1,2,2,No,No,43.5,0,0,2011-present,9600.00,6360.00,2024-05-28,0.35,0.09,0.27
"Strömsgatan 22",GamlaÖster,Västervik,Lägenhet,Bostadsrätt,2,1,4,Yes,No,64.5,0,0,1951-2000,2617.00,11520.00,2024-05-28,1.35,-0.07,1.42
"Timmervägen 6C",Dammen,Strängnä,Lägenhet,Bostadsrätt,3,1,2,No,No,68,0,0,2011-present,18792.00,6360.00,2024-05-28,1.60,-0.35,1.94
"Parkvägen 2",Solna,Soln,Lägenhet,Bostadsrätt,2,0,0,Yes,No,42,0,0,2011-present,2888.00,6360.00,2024-05-28,3.30,0.26,3.04
"Alvägen 26",Enebyberg,Danderyd,Lägenhet,Bostadsrätt,4,2,4,Yes,No,113,0,0,2011-present,5709.00,7200.00,2024-05-28,7.50,0.86,6.64
"Revingegatan 3",Centrum,Lund,Lägenhet,Bostadsrätt,2,1,4,No,No,74.5,0,0,1900-1950,4291.00,7430.00,2024-05-28,3.40,0.11,3.29
"Utgårdsvägen 14",Handen,Haning,Lägenhet,Bostadsrätt,2,1,3,No,No,65.5,0,0,1951-2000,5116.00,4600.00,2024-05-28,1.65,-0.15,1.80
"Fredrikshovsgatan 5, 2 tr",Östermalm,Stockholm,Lägenhet,Bostadsrätt,2,2,5,Yes,No,46,0,0,1900-1950,2805.00,4700.00,2024-05-28,6.00,1.11,4.89
"Älvebacken 8",Kongahälla,Kungälv,Lägenhet,Bostadsrätt,2,3,6,No,No,55,0,0,2011-present,3784.00,4800.00,2024-05-28,2.50,-0.05,2.54
"Backadalsstigen 8a",Trandared,Borå,Lägenhet,Bostadsrätt,3,3,0,Yes,No,77,0,0,2011-present,5235.00,17424.00,2024-05-27,2.70,-0.30,2.99
"Bengt Ekehjelmsgatan 13, 4 tr",Södermalm,Stockholm,Lägenhet,Andelibostadsförening,2,4,5,Yes,No,61,0,0,1900-1950,3300.00,6360.00,2024-05-27,5.80,1.43,4.37
"Järnvägsgatan 24B",Ranten,Falköping,Lägenhet,Bostadsrätt,3,5,5,Yes,No,80,0,0,1951-2000,4215.00,4584.00,2024-05-27,0.95,0.06,0.89
"Klubbegatan 8c",Håkanstorp,Malm,Lägenhet,Bostadsrätt,1,0,3,No,No,40,0,0,1951-2000,2420.00,6000.00,2024-05-27,0.95,-0.02,0.97
"Kustjägargränd 5",RindöHamn,Vaxholm,Lägenhet,Bostadsrätt,3,2,4,Yes,No,81,0,0,2011-present,4298.00,9012.00,2024-05-27,5.00,0.00,5.00
"Köpmangatan 24B",Centralt,Oskarshamn,Lägenhet,Bostadsrätt,2,4,4,Yes,No,77,0,0,2011-present,3996.00,6360.00,2024-05-27,0.75,-0.08,0.83
"Hagmarksgatan 9a",Eklunda/Sörby,Örebr,Lägenhet,Bostadsrätt,2,2,3,No,No,54,0,0,2011-present,4596.00,6360.00,2024-05-27,1.50,-0.05,1.54
"Vilhelmsrogatan 65",Vilhelmsro,Falköping,Lägenhet,Bostadsrätt,2,1,0,No,No,42,0,0,1951-2000,3523.00,10260.00,2024-05-27,0.39,0.10,0.29
"Gårdskullavägen 3B",Gårdskulla,Kungsback,Lägenhet,Bostadsrätt,2,2,3,No,No,65.5,0,0,1951-2000,3830.00,13788.00,2024-05-27,2.50,0.16,2.34
"Jungfrudansen 7, vån 2",VästraSkogen,Soln,Lägenhet,Bostadsrätt,2,2,4,Yes,No,64,0,0,1951-2000,3694.00,2400.00,2024-05-27,3.00,0.54,2.46
"Karlbergsvägen 35C",Vasastan,Stockholm,Lägenhet,Bostadsrätt,1,0,0,No,No,28,0,0,1900-1950,1319.00,5700.00,2024-05-27,3.00,0.41,2.59
"Gustavsgatan 9B",Centralt,Karlskog,Lägenhet,Bostadsrätt,1,2,3,No,No,29,0,0,2011-present,2594.00,6360.00,2024-05-27,0.17,0.00,0.17
"Döbelnsgatan 63",Vasastan,Stockholm,Lägenhet,Bostadsrätt,2,1,5,No,No,57,0,0,"Before 1900s",2860.00,7300.00,2024-05-27,6.95,0.70,6.25
"Övre Hallegatan 40",CentralaHisingen,Göteborg,Lägenhet,Bostadsrätt,3,3,5,Yes,No,76.6,0,0,2011-present,6567.00,6360.00,2024-05-27,2.70,0.01,2.69
"Radarvägen 13, 11tr",Hägernäs,Täb,Lägenhet,Bostadsrätt,1,11,14,Yes,No,25,0,0,2011-present,2594.00,6360.00,2024-05-27,1.40,0.00,1.40
"Bruksparken 6A",Hököpinge,Velling,Lägenhet,Bostadsrätt,3,3,4,Yes,No,86,0,0,2001-2010,6427.00,7065.00,2024-05-27,2.50,-0.08,2.58
"Börjegatan 54B",Luthagen,Uppsal,Lägenhet,Bostadsrätt,1,1,4,No,No,20.2,0,0,1951-2000,1164.00,1474.00,2024-05-27,1.30,-0.15,1.44
"Fänsåkersvägen 23A",Vagnhärad,Tros,Lägenhet,Bostadsrätt,3,1,2,No,No,69,0,0,2011-present,4851.00,5710.00,2024-05-27,1.90,0.00,1.90
"Källängsvägen 43",Näset,Liding,Lägenhet,Bostadsrätt,3,2,2,No,No,78.5,0,0,1951-2000,4096.00,6360.00,2024-05-27,4.50,0.01,4.49
"Blå Blomvägen 1A",GustavsbergCharlottendal,Värmd,Lägenhet,Bostadsrätt,2,0,0,No,No,43.5,0,0,2011-present,7920.00,6360.00,2024-06-02,2.25,0.00,2.25
"Folkungavägen 3B",Centrumväster,Nyköping,Lägenhet,Bostadsrätt,4,1,4,Yes,No,99.5,0,0,1951-2000,5389.00,4200.00,2024-06-02,2.45,0.10,2.35
"Slipvägen 6",GåshagaPirar,Liding,Lägenhet,Bostadsrätt,5,1,5,Yes,Yes,112,0,0,2001-2010,6243.00,18360.00,2024-06-02,8.90,0.25,8.65
"Gezelius väg 14",GustavsbergÖstraEkedal,Värmd,Lägenhet,Bostadsrätt,5,0,0,No,Yes,129,0,0,2011-present,14328.00,6360.00,2024-06-02,5.00,0.53,4.47
"Serenadvägen 9, 1tr",NackaForum,Nack,Lägenhet,Bostadsrätt,4,1,4,Yes,Yes,102,0,0,2001-2010,7170.00,3600.00,2024-06-02,5.50,0.20,5.30
"Huvudstagatan 33",VästraSkogen,Soln,Lägenhet,Bostadsrätt,3,1,7,Yes,Yes,77,0,0,2001-2010,4681.00,6360.00,2024-06-02,4.70,0.21,4.49
"Smedsbovägen 7a",Harbo,Heb,Lägenhet,Bostadsrätt,3,0,0,No,No,77.3,0,0,2011-present,17208.00,6360.00,2024-06-02,2.20,0.16,2.04
"Upplandsgatan 45",Vasastan,Stockholm,Lägenhet,Bostadsrätt,2,0,0,No,No,52,0,0,2011-present,5500.00,6360.00,2024-06-02,5.00,0.51,4.49
"Ringduvegatan 69",Råby,Västerå,Lägenhet,Bostadsrätt,2,0,0,No,No,71,0,0,2011-present,2594.00,6360.00,2024-06-01,0.65,-0.03,0.68
"Resliden 20",Billdal,Göteborg,Lägenhet,Bostadsrätt,5,2,2,No,Yes,119,0,0,2011-present,3437.00,12000.00,2024-06-01,6.15,0.25,5.90
"Mälargatan 4A",ÖstraHamnen,Västerå,Lägenhet,Bostadsrätt,4,1,4,Yes,No,112,0,0,2001-2010,6333.00,3800.00,2024-06-01,4.50,0.00,4.50
"Åre strand/ Hus 8 lgh A3",ÅreBy,År,Lägenhet,Bostadsrätt,3,1,2,No,No,53,0,0,2011-present,2158.00,14412.00,2024-06-01,3.15,0.00,3.15
"Nybodaringen 73",Nybodahöjden/liljeholmen,Stockholm,Lägenhet,Bostadsrätt,4,2,2,No,Yes,90.5,0,0,1951-2000,8248.00,14568.00,2024-05-31,5.50,0.26,5.24
"Bullerbygatan 113",GyllinsTrädgård,Malm,Lägenhet,Bostadsrätt,2,1,2,No,No,67,0,0,2011-present,5372.00,3840.00,2024-05-31,2.00,0.08,1.92
"Balladgatan 31",Högaholm,Malm,Lägenhet,Bostadsrätt,3,1,3,No,Yes,82.5,0,0,1951-2000,4696.00,6360.00,2024-05-31,1.80,0.00,1.80
"Förrådsgatan 3",GamlaRåsunda,Soln,Lägenhet,Bostadsrätt,4,0,0,No,Yes,96,0,0,2011-present,11400.00,6360.00,2024-05-31,6.25,1.05,5.20
"Gamla Brottkärrsvägen 46",Hovås,Göteborg,Lägenhet,Bostadsrätt,2,1,2,No,No,56,0,0,2011-present,3714.00,13092.00,2024-05-31,3.70,0.11,3.59
"Smögengatan 24",Björkekärr,Göteborg,Lägenhet,Bostadsrätt,3,3,6,Yes,Yes,80,0,0,2011-present,5926.00,7200.00,2024-05-31,4.19,0.06,4.13
"Köpenhamnsgatan 9",Ekeby,Uppsal,Lägenhet,Bostadsrätt,3,1,2,No,No,78.5,0,0,1951-2000,3595.00,6360.00,2024-05-31,2.70,0.00,2.70
"Oriongatan 6C",Fårhushagen,Strängnä,Lägenhet,Bostadsrätt,5,1,2,No,No,109,0,0,2011-present,5752.00,24348.00,2024-05-31,2.75,0.00,2.75
"Murbergsvägen 5",Murberget,Härnösand,Lägenhet,Bostadsrätt,2,2,3,No,Yes,62.1,0,0,1951-2000,3010.00,6360.00,2024-05-31,0.25,0.05,0.21
"Virkesvägen 76",VendelsöGård,Haning,Lägenhet,Bostadsrätt,3,0,0,No,No,68,0,0,2011-present,14400.00,6360.00,2024-05-31,3.30,-0.15,3.44
"Sveagatan 26",Centrum,Varberg,Lägenhet,Bostadsrätt,4,1,5,Yes,Yes,106.6,0,0,2011-present,5781.00,14388.00,2024-05-31,4.95,-0.35,5.30
"Brahegatan 16B",NedreNorrmalm,Borå,Lägenhet,Bostadsrätt,4,1,3,No,No,72,0,0,1900-1950,4602.00,6013.00,2024-05-31,2.50,0.11,2.39
"Barkarbyvägen 60",Barkabystaden,Järfäll,Lägenhet,Bostadsrätt,3,1,5,Yes,No,80,0,0,2011-present,4903.00,9000.00,2024-05-31,3.00,-0.10,3.09
"Plutonsgatan 9",SödraEkkällan,Linköping,Lägenhet,Bostadsrätt,3,0,0,No,No,83,0,0,2011-present,9000.00,6360.00,2024-05-31,2.65,0.16,2.49
"Björnebergsvägen 15A",Bymarken,Jönköping,Lägenhet,Bostadsrätt,3,1,2,No,No,95,0,0,1900-1950,5430.00,6360.00,2024-05-31,3.25,0.20,3.05
"Skiftesgatan 81A",Anderstorp,Skellefte,Lägenhet,Bostadsrätt,3,1,0,No,No,70.5,0,0,2011-present,2594.00,6360.00,2024-05-31,1.50,0.18,1.32
"Storgatan 37",Klippan,Klippan,Lägenhet,Bostadsrätt,2,3,3,Yes,No,68,0,0,1951-2000,5552.00,6228.00,2024-05-31,0.40,-0.10,0.49
"Bovägen 10G",Timrå,Timr,Lägenhet,Bostadsrätt,3,1,3,No,Yes,75.5,0,0,1951-2000,3938.00,936.00,2024-05-31,0.65,0.10,0.55
"Väverigatan 3",Ebbepark,Linköping,Lägenhet,Bostadsrätt,1,1,5,Yes,No,33.9,0,0,2011-present,8280.00,6360.00,2024-05-31,1.50,-0.02,1.52
"Åbackegatan 5A",Örnsro,Örebr,Lägenhet,Bostadsrätt,2,1,3,Yes,No,65,0,0,1951-2000,5526.00,7500.00,2024-05-31,1.70,-0.15,1.84
"Bladgatan 145",Anderstorp,Skellefte,Lägenhet,Bostadsrätt,3,0,0,No,No,80,0,0,2011-present,29688.00,6360.00,2024-05-31,1.90,0.20,1.70
"Myrvägen 2",Skyttorp,Uppsal,Lägenhet,Bostadsrätt,3,1,0,No,No,66,0,0,1951-2000,4430.00,46692.00,2024-05-31,1.10,-0.05,1.14
"Norrbågen 45B",Sätra,Gävl,Lägenhet,Bostadsrätt,3,0,0,No,No,78.5,0,0,2011-present,13140.00,6360.00,2024-05-31,1.70,-0.10,1.79
"Kungsgatan 2D",JönköpingVäster,Jönköping,Lägenhet,Bostadsrätt,5,5,6,Yes,Yes,124,0,0,1951-2000,7493.00,6360.00,2024-05-31,3.30,0.70,2.60
"Västra långgatan 53",Sundsvallcentrum,Sundsvall,Lägenhet,Bostadsrätt,4,2,2,No,Yes,86.5,0,0,1900-1950,6355.00,4320.00,2024-05-31,2.20,-0.10,2.29
"Tegebäcksvägen 17C",Åre,År,Lägenhet,Bostadsrätt,4,2,2,No,Yes,70,0,0,2011-present,4795.00,7200.00,2024-05-31,2.75,-0.05,2.80
"Lingonstigen 1B",Bärområdet,Ystad,Lägenhet,Bostadsrätt,3,0,0,No,Yes,82,0,0,2011-present,2594.00,6360.00,2024-05-31,1.80,0.16,1.64
"Grusåsgränd 70 BV",Enskede,Stockholm,Lägenhet,Bostadsrätt,3,0,0,No,No,82,0,0,2011-present,4680.00,6360.00,2024-05-31,3.60,0.21,3.39
"Körvelgatan 43C",ÅRSTA,Uppsal,Lägenhet,Bostadsrätt,2,1,2,No,No,60.3,0,0,2011-present,2594.00,6360.00,2024-05-31,1.80,0.00,1.80
"Fredriksskanstorget 1",Fredriksskans,Kalma,Lägenhet,Bostadsrätt,1,1,4,Yes,No,32,0,0,2011-present,3429.00,9600.00,2024-05-31,1.15,-0.10,1.25
"Vendelsö skolväg 21",Vendelsö,Haning,Lägenhet,Bostadsrätt,3,0,0,No,No,82,0,0,2011-present,7320.00,6360.00,2024-05-31,2.30,0.00,2.30
"Sandhamnsgatan 53",Gärdet,Stockholm,Lägenhet,Bostadsrätt,2,2,5,Yes,Yes,50.5,0,0,1951-2000,3156.00,6360.00,2024-05-31,4.00,0.11,3.89
"Buddes gränd 12",JärlaSjö,Nack,Lägenhet,Bostadsrätt,3,0,0,No,No,74,0,0,2011-present,9600.00,6360.00,2024-05-31,4.20,0.54,3.66
"Hakon Ahlbergs väg 31C",Sidsjö,Sundsvall,Lägenhet,Bostadsrätt,4,1,2,No,No,80.8,0,0,2011-present,5862.00,5400.00,2024-05-31,2.30,0.00,2.30
"Centralvägen 20",Björknäs,Nack,Lägenhet,Bostadsrätt,2,0,0,No,No,66.7,0,0,2011-present,8760.00,6360.00,2024-05-31,1.99,0.08,1.92
"Bromsbodavägen 35A",Runby,UpplandsVäsb,Lägenhet,Bostadsrätt,2,0,0,No,No,54,0,0,2011-present,7236.00,6360.00,2024-05-30,1.50,0.00,1.50
"Övre Majorsgatan 14B",Linnéstaden,Göteborg,Lägenhet,Bostadsrätt,2,0,0,No,No,51,0,0,2011-present,2594.00,6360.00,2024-05-30,3.30,0.20,3.10
"Klågerupsvägen 309C",Toftängen,Malm,Lägenhet,Bostadsrätt,3,1,2,No,No,77,0,0,1951-2000,3948.00,2400.00,2024-05-30,2.25,-0.07,2.32
"Ringtonsgränden 2",Brunnshög,Lund,Lägenhet,Bostadsrätt,4,3,8,Yes,Yes,82,0,0,2011-present,6064.00,6360.00,2024-05-30,3.50,-0.15,3.64
"Drottninggatan 12",Söder,Växj,Lägenhet,Bostadsrätt,4,1,5,Yes,No,99,0,0,2011-present,5543.00,11160.00,2024-05-30,3.00,-0.20,3.19
"Åsenvägen 12D",Lerum,Lerum,Lägenhet,Bostadsrätt,3,1,4,Yes,No,74,0,0,2011-present,6077.00,6960.00,2024-05-30,2.95,-0.16,3.11
"Påskvägen 2",Skön,Sundsvall,Lägenhet,Bostadsrätt,5,0,0,No,No,115.5,0,0,2011-present,25116.00,6360.00,2024-05-30,1.70,0.11,1.59
"Skördevägen 23C",ÅkersStyckebruk,Strängnä,Lägenhet,Bostadsrätt,3,1,2,No,No,77.8,0,0,1951-2000,5672.00,21600.00,2024-05-30,1.38,0.00,1.38
"Agrarvägen 10",Viksjö,Järfäll,Lägenhet,Bostadsrätt,2,1,6,Yes,No,61.5,0,0,2001-2010,5106.00,3000.00,2024-05-30,2.00,-0.10,2.09
"Ängsmarksvägen 33C",Gånsta,Enköping,Lägenhet,Bostadsrätt,3,1,2,No,No,72,0,0,2011-present,5337.00,12612.00,2024-05-30,1.70,0.00,1.70
"Paradisgränd 4",Umedalen,Ume,Lägenhet,Bostadsrätt,2,1,5,No,Yes,52.5,0,0,1951-2000,4495.00,6360.00,2024-05-30,1.15,0.00,1.15
"Strömstadsvägen 42",Granloholm,Sundsvall,Lägenhet,Bostadsrätt,4,1,2,No,Yes,96.5,0,0,2011-present,11064.00,6360.00,2024-05-30,1.20,0.00,1.20
"Drabantgatan 35",T1,Linköping,Lägenhet,Bostadsrätt,1,1,5,Yes,No,50,0,0,1951-2000,3028.00,7258.00,2024-05-30,1.60,0.09,1.51
"Åbolidsringen 74A",Åbolid,Jönköping,Lägenhet,Bostadsrätt,2,1,1,No,Yes,56.5,0,0,1951-2000,3652.00,4800.00,2024-05-30,1.50,-0.25,1.75
"Erik Dahlbergs gata 33",Tågaborg,Helsingborg,Lägenhet,Bostadsrätt,4,1,5,Yes,Yes,95,0,0,1951-2000,6456.00,7200.00,2024-05-30,2.30,0.01,2.29
"Kungsgatan 54B",Centrum,Kristinehamn,Lägenhet,Bostadsrätt,1,2,4,Yes,Yes,41,0,0,1900-1950,2634.00,3000.00,2024-05-30,0.20,-0.05,0.24
"Mjölnerbacken 77",Rissne,Sundbyberg,Lägenhet,Bostadsrätt,3,0,0,No,No,82.3,0,0,2011-present,2594.00,6360.00,2024-05-30,3.00,0.01,2.99
"Rangatan 4",ÖsterMälarstrand,Västerå,Lägenhet,Bostadsrätt,3,1,0,Yes,Yes,82,0,0,2011-present,5536.00,6360.00,2024-05-30,2.65,0.00,2.65
"Nybodaringen 33",Liljeholmen,Stockholm,Lägenhet,Bostadsrätt,4,2,2,No,Yes,90.5,0,0,1951-2000,8248.00,9240.00,2024-05-30,5.50,0.31,5.19
"Hörnviksgatan 29B",Centrum,Tidaholm,Lägenhet,Bostadsrätt,3,2,2,No,Yes,96.5,0,0,1951-2000,7324.00,20609.00,2024-05-29,0.75,0.00,0.75
"Tollareslingan 50, 3/4 tr",Tollare,Nack,Lägenhet,Bostadsrätt,4,3,4,Yes,Yes,94,0,0,2011-present,8246.00,3000.00,2024-05-29,5.00,-0.15,5.14
"Mäster Nils Väg 18",Arvidstorp,Falkenberg,Lägenhet,Bostadsrätt,3,2,2,No,Yes,89,0,0,1951-2000,4221.00,4920.00,2024-05-29,1.10,-0.16,1.26
"S:t Olofsgatan 28B",CentrumUppsala,Uppsal,Lägenhet,Bostadsrätt,2,1,0,No,Yes,67.5,0,0,2011-present,6624.00,6360.00,2024-05-29,2.45,-0.05,2.50
"Bastuhagsvägen 59, bv",Stureby,Stockholm,Lägenhet,Bostadsrätt,2,0,0,No,No,48.5,0,0,2011-present,6571.00,6360.00,2024-05-29,2.75,-0.06,2.81
"Pepparmyntsgränden 6",Stattena,Hässleholm,Lägenhet,Bostadsrätt,4,0,0,No,No,108,0,0,2011-present,2594.00,6360.00,2024-05-29,1.00,-0.05,1.04
"Bassängbacken 2",Särö,Kungsback,Lägenhet,Bostadsrätt,3,1,2,No,No,75,0,0,"Before 1900s",3804.00,6360.00,2024-05-29,4.40,-0.05,4.44
