,House_Name,Location,Municipality,House_type,Release_form,Rooms,Floor,Total_no_Floors,Lift,Balcony,Living_area,Plot_area,Other_area,Built_on,Charge,Operating_cost,Sold_date,Starting_price,Price_Change,Final_Price
541,Kung Kristians väg 6A,Kungahusen,Trelleborg,Lägenhet,Bostadsrätt,3,2,3,No,Yes,82.0,0.0,0.0,1951-2000,6608.0,5004.0,,1.5,0.06,1.44
542,Luleåvägen 91,Granloholm,Sundsvall,Lägenhet,Bostadsrätt,2,2,2,No,Yes,72.5,0.0,0.0,1951-2000,5173.0,6360.0,,0.6,0.03,0.57
543,Västergårdsgatan 13,Västergård,Helsingborg,Lägenhet,Bostadsrätt,3,2,3,Yes,Yes,79.0,0.0,0.0,1951-2000,6177.0,6360.0,,0.9,-0.07,0.96
544,Bärnstensgatan 26,Ättekulla,Helsingborg,Lägenhet,Bostadsrätt,2,4,7,Yes,Yes,57.0,0.0,0.0,1951-2000,4158.0,4200.0,,1.48,-0.04,1.51
545,Sibyllegatan 50B,Östermalm,Stockholm,Lägenhet,Bostadsrätt,3,3,0,Yes,No,72.0,0.0,0.0,Before 1900s,2972.0,6360.0,,9.75,0.65,9.1
546,Söderbytorpsgatan 2,Vendelsö,Haning,Lägenhet,Bostadsrätt,2,1,1,No,Yes,55.0,0.0,0.0,1951-2000,4708.0,5400.0,,1.7,-0.05,1.74
547,"Sveavägen 138, 5tr",Vasastan,Stockholm,Lägenhet,Bostadsrätt,3,5,7,Yes,Yes,74.0,0.0,0.0,1900-1950,2875.0,6360.0,,7.7,0.0,7.7
548,Bandtraktorgatan 2,Angered,Göteborg,Lägenhet,Bostadsrätt,2,1,4,Yes,Yes,55.0,0.0,0.0,2011-present,3833.0,7200.0,,1.55,0.0,1.55
549,Räntmästaregatan 21B,Lunden,Göteborg,Lägenhet,Bostadsrätt,3,4,4,No,Yes,60.0,0.0,0.0,1900-1950,4942.0,6360.0,,3.5,0.31,3.19
550,Karlbergsvägen 27B,Vasastan,Stockholm,Lägenhet,Bostadsrätt,2,3,4,No,Yes,67.0,0.0,0.0,Before 1900s,2924.0,8300.0,,7.5,-0.08,7.58
