,House_Name,Location,Municipality,House_type,Release_form,Rooms,Floor,Total_no_Floors,Lift,Balcony,Living_area,Plot_area,Other_area,Built_on,Charge,Operating_cost,Sold_date,Starting_price,Price_Change,Final_Price
74,Ekedalsvägen 15A,Jakobsberg,Järfäll,Lägenhet,Bostadsrätt,3,0,3,Yes,Yes,55.0,0.0,0.0,1951-2000,4123.0,13750.0,2024-07-10,1.595,0.08,1.515
75,Nyängsvägen 2,Tullinge,Botkyrk,Lägenhet,Bostadsrätt,3,2,4,Yes,Yes,75.0,0.0,0.0,2011-present,5555.0,7800.0,2024-07-10,2.795,0.0,2.795
76,Mjölnergatan 14,Märsta,Sigtun,Lägenhet,Bostadsrätt,2,6,7,Yes,Yes,36.0,0.0,0.0,2011-present,3154.0,9804.0,2024-07-10,0.995,-0.095,1.09
77,Tellusgatan 41,Bergsjön,Göteborg,Lägenhet,Bostadsrätt,1,7,9,Yes,Yes,40.0,0.0,0.0,2011-present,3169.0,8352.0,2024-07-10,0.98,0.0,0.98
78,Lasarettsgatan 40A,Centrum,Gällivar,Lägenhet,Bostadsrätt,1,1,3,No,Yes,44.5,0.0,0.0,1951-2000,4281.0,2400.0,2024-07-10,0.795,0.12,0.675
79,Storvretsvägen 45,Skogås,Hudding,Lägenhet,Bostadsrätt,4,2,2,No,Yes,96.0,0.0,0.0,2011-present,3960.0,13750.0,2024-07-10,1.75,0.35,1.4
80,Karlagatan 34,Herrhagen,Karlstad,Lägenhet,Bostadsrätt,3,2,4,Yes,Yes,80.0,0.0,0.0,1951-2000,5612.0,7536.0,2024-07-10,1.75,-0.1,1.85
81,Vardövägen 86,Vega,Haning,Lägenhet,Bostadsrätt,2,0,4,Yes,Yes,55.0,0.0,0.0,2011-present,3655.0,13750.0,2024-07-10,2.295,-0.045,2.34
82,Ersåsbacken 68,Önnered,Göteborg,Lägenhet,Bostadsrätt,2,2,2,No,Yes,65.0,0.0,0.0,2011-present,4140.0,13750.0,2024-07-10,2.95,-0.15,3.1
83,Blidvädersgränd 2 E,Fasseröd,Uddevall,Lägenhet,Bostadsrätt,3,2,2,No,Yes,70.0,0.0,0.0,2011-present,4800.0,13750.0,2024-07-10,1.695,-0.145,1.84
84,Ehrensvärdsgatan 6,Kungsholmen,Stockholm,Lägenhet,Bostadsrätt,1,5,6,Yes,No,29.0,0.0,0.0,1900-1950,1382.0,4500.0,2024-07-10,2.995,0.305,2.69
85,Inteckningsvägen 21,Hägerstensåsen,Stockholm,Lägenhet,Bostadsrätt,2,2,3,No,Yes,51.0,0.0,0.0,1900-1950,3267.0,13750.0,2024-07-10,2.995,-0.095,3.09
86,Gethes väg 4,SödraKalmar,Kalma,Lägenhet,Bostadsrätt,2,2,3,No,Yes,52.5,0.0,0.0,1951-2000,3665.0,3600.0,2024-07-10,1.05,0.0,1.05
87,Tallvägen 9A,Bredsand,Sundsvall,Lägenhet,Bostadsrätt,2,2,7,Yes,Yes,63.0,0.0,0.0,1951-2000,4545.0,1248.0,2024-07-10,0.65,-0.01,0.66
88,Elisetorpsvägen 17B,Arlöv,Burlöv,Lägenhet,Bostadsrätt,2,7,9,Yes,Yes,61.5,0.0,0.0,1951-2000,3369.0,1800.0,2024-07-10,1.095,0.0,1.095
89,Framnäsbacken 24,Skytteholm,Soln,Lägenhet,Bostadsrätt,1,1,6,Yes,No,25.0,0.0,0.0,1951-2000,1181.0,7400.0,2024-07-10,1.895,-0.045,1.94
90,Vintergatan 2D,Sundbyberg,Sundbyberg,Lägenhet,Bostadsrätt,2,4,7,Yes,Yes,40.0,0.0,0.0,2011-present,3273.0,4300.0,2024-07-10,2.995,0.105,2.89
91,Södra Långgatan 79D,Kvarnholmen,Kalma,Lägenhet,Bostadsrätt,1,2,3,Yes,Yes,40.0,0.0,0.0,1900-1950,2897.0,4800.0,2024-07-10,1.395,-0.02,1.415
92,Nordenskiöldsgatan 6,Linné,Göteborg,Lägenhet,Bostadsrätt,2,6,8,Yes,Yes,64.9,0.0,0.0,1951-2000,4279.0,3250.0,2024-07-10,3.995,0.305,3.69
94,Järnåkravägen 7C,Järnåkra,Lund,Lägenhet,Bostadsrätt,3,2,4,No,Yes,88.2,0.0,0.0,1951-2000,3733.0,13750.0,2024-07-10,2.995,0.055,2.94
95,Sparbanksvägen 81,Hägerstensåsen,Stockholm,Lägenhet,Bostadsrätt,2,1,3,No,Yes,51.0,0.0,0.0,1900-1950,3947.0,5500.0,2024-07-10,2.495,0.18,2.315
96,Sandfjärdsgatan 10,Årsta,Stockholm,Lägenhet,Bostadsrätt,4,6,0,Yes,Yes,88.0,0.0,0.0,1951-2000,4200.0,3000.0,2024-07-10,3.995,0.125,3.87
97,Gibraltargatan 60,Johanneberg,Göteborg,Lägenhet,Bostadsrätt,1,4,5,Yes,Yes,31.0,0.0,0.0,1900-1950,2482.0,3900.0,2024-07-10,2.495,-0.095,2.59
98,"Hägerstensvägen 185, 2 tr.",Aspudden/Örnsberg,Stockholm,Lägenhet,Bostadsrätt,2,2,3,No,Yes,48.0,0.0,0.0,1900-1950,3332.0,4351.0,2024-07-10,2.995,0.105,2.89
99,Ugglevägen 14C,Orrängen,Oskarshamn,Lägenhet,Bostadsrätt,1,1,3,Yes,No,35.0,0.0,0.0,1951-2000,2809.0,3000.0,2024-07-10,0.475,0.045,0.43
100,Östra brinkvägen 43,VästPåStan,Ume,Lägenhet,Bostadsrätt,3,1,3,No,Yes,78.0,0.0,0.0,1951-2000,3569.0,13750.0,2024-07-10,2.795,0.055,2.74
101,Strömgatan 5C,Centralt,Kalma,Lägenhet,Bostadsrätt,3,2,3,No,No,113.0,0.0,0.0,Before 1900s,6890.0,7500.0,2024-07-10,3.2,0.0,3.2
102,Värnamovägen 3,Granloholm,Sundsvall,Lägenhet,Bostadsrätt,1,2,4,Yes,Yes,57.0,0.0,0.0,1951-2000,4695.0,1740.0,2024-07-10,0.675,-0.035,0.71
103,Geodetgatan 29,Hemlingby,Gävl,Lägenhet,Bostadsrätt,3,3,3,Yes,Yes,72.0,0.0,0.0,2011-present,8964.0,13750.0,2024-07-10,1.72,-0.035,1.755
104,Gröna gatan 13A,Torpa,Jönköping,Lägenhet,Bostadsrätt,1,2,3,No,No,24.0,0.0,0.0,1900-1950,1864.0,13750.0,2024-07-10,1.295,-0.025,1.32
105,Limhamnsvägen 10A,Ribersborg,Malm,Lägenhet,Bostadsrätt,4,7,10,Yes,Yes,89.0,0.0,0.0,1951-2000,6557.0,13750.0,2024-07-10,5.295,0.0,5.295
106,Hallandsgatan 37,Slottsjorden,Halmstad,Lägenhet,Bostadsrätt,3,2,2,No,Yes,59.0,0.0,0.0,1900-1950,3402.0,7800.0,2024-07-09,1.795,0.0,1.795
107,Theodor Hellmans Väg 60,Murberget,Härnösand,Lägenhet,Bostadsrätt,2,1,3,No,Yes,64.7,0.0,0.0,1951-2000,3460.0,2052.0,2024-07-09,0.32,-0.01,0.33
108,Bygdegatan 407,Lambohov,Linköping,Lägenhet,Bostadsrätt,2,2,2,No,Yes,77.0,0.0,0.0,1951-2000,4541.0,5400.0,2024-07-09,1.195,0.01,1.185
109,Kungsgatan 15A,Centralt,Hörb,Lägenhet,Bostadsrätt,2,2,3,No,Yes,54.5,0.0,0.0,1951-2000,4782.0,5230.0,2024-07-09,0.745,-0.015,0.76
111,Slåtterbalksgatan 31,Åkerbruket,Svedal,Lägenhet,Bostadsrätt,2,1,4,Yes,Yes,55.0,0.0,0.0,2011-present,4970.0,4624.0,2024-07-09,1.595,0.0,1.595
112,Lindormsgatan 3,Sjöbo,Borå,Lägenhet,Bostadsrätt,2,2,3,No,Yes,52.0,0.0,0.0,1951-2000,3768.0,120.0,2024-07-09,0.795,-0.046,0.841
113,Kärrets väg 9 A,Arvidstorp,Falkenberg,Lägenhet,Bostadsrätt,3,2,3,No,Yes,72.5,0.0,0.0,1951-2000,5448.0,5546.0,2024-07-09,1.15,-0.05,1.2
114,Mörsilsgatan 28,VällingbyCentrum,Stockholm,Lägenhet,Bostadsrätt,4,0,3,No,Yes,78.0,0.0,0.0,1951-2000,4871.0,3600.0,2024-07-09,2.695,0.23,2.465
115,Ögontröstgatan 1A,CentralaHisingen,Göteborg,Lägenhet,Bostadsrätt,2,1,4,No,No,50.0,0.0,0.0,1900-1950,3042.0,4200.0,2024-07-09,1.995,0.0,1.995
116,Växthusvägen 17,Bro,Upplands-Bro,Lägenhet,Bostadsrätt,3,3,3,Yes,Yes,69.0,0.0,0.0,2011-present,5278.0,4800.0,2024-07-09,1.895,-0.12,2.015
117,Gransikagatan 8C,Norrmalm,Skövd,Lägenhet,Bostadsrätt,3,2,3,No,Yes,84.0,0.0,0.0,1900-1950,4765.0,4461.0,2024-07-09,1.995,0.255,1.74
118,Näckrosvägen 22,Råsunda,Soln,Lägenhet,Bostadsrätt,2,0,0,No,Yes,53.5,0.0,0.0,1900-1950,3385.0,5160.0,2024-07-09,3.395,0.205,3.19
119,"Wargentinsgatan 5D, Vån 4 - Ö.G",Kungsholmen,Stockholm,Lägenhet,Bostadsrätt,2,4,5,Yes,No,40.0,0.0,0.0,1900-1950,2482.0,3702.0,2024-07-09,4.25,0.45,3.8
120,Ola hanssonsgatan 3,Kristineberg,Stockholm,Lägenhet,Bostadsrätt,1,1,3,No,Yes,28.0,0.0,0.0,1900-1950,1880.0,2000.0,2024-07-09,2.495,0.205,2.29
121,Västerleden 130,Västerleden,Enköping,Lägenhet,Bostadsrätt,4,1,3,No,Yes,100.0,0.0,0.0,1951-2000,6422.0,8400.0,2024-07-09,1.395,-0.135,1.53
123,Jutevägen 12,Dalvik,Jönköping,Lägenhet,Bostadsrätt,3,3,3,No,Yes,79.5,0.0,0.0,1951-2000,4648.0,5400.0,2024-07-09,1.65,-0.025,1.675
124,Svedjevägen 7 C,Björksta,Fagerst,Lägenhet,Bostadsrätt,2,3,3,No,Yes,51.0,0.0,0.0,2011-present,5500.0,13750.0,2024-07-09,0.25,-0.03,0.28
125,Börjegatan 1B,FrämreLuthagen,Uppsal,Lägenhet,Bostadsrätt,1,2,5,Yes,Yes,20.0,0.0,0.0,1900-1950,1302.0,3000.0,2024-07-09,1.795,0.105,1.69
127,Petterslundsgatan 33,Fålhagen,Uppsal,Lägenhet,Bostadsrätt,3,1,3,No,Yes,82.4,0.0,0.0,1951-2000,3458.0,8844.0,2024-07-09,2.99,0.11,2.88
128,Hansagatan 5,Centralt,Tre,Lägenhet,Bostadsrätt,2,2,4,No,Yes,52.0,0.0,0.0,1900-1950,4220.0,3528.0,2024-07-09,1.275,-0.075,1.35
129,Apotekaregatan 4A,CentralaLinköping,Linköping,Lägenhet,Bostadsrätt,2,3,4,No,No,72.0,0.0,0.0,1900-1950,4129.0,6120.0,2024-07-09,3.095,0.0,3.095
130,Torsvägen 3,Lövskatan,Lule,Lägenhet,Bostadsrätt,2,2,2,No,Yes,55.0,0.0,0.0,1900-1950,3300.0,1215.0,2024-07-09,1.295,-0.145,1.44
131,Skolvägen 7 B,ÅkersbergaCentralt,Österåker,Lägenhet,Bostadsrätt,1,1,4,Yes,Yes,47.5,0.0,0.0,1951-2000,3319.0,7200.0,2024-07-09,1.595,-0.095,1.69
132,Myrstuguvägen 261,Myrstuguberget,Hudding,Lägenhet,Bostadsrätt,3,1,4,Yes,Yes,82.5,0.0,0.0,1951-2000,6786.0,4200.0,2024-07-09,1.995,0.12,1.875
133,Jämtlandsgatan 107,VällingbyParkstad/Råcksta,Stockholm,Lägenhet,Bostadsrätt,1,0,0,Yes,Yes,36.0,0.0,0.0,2011-present,2503.0,7393.0,2024-07-09,1.795,0.115,1.68
134,"Emmy Rappes gata 2, 8 tr",VasastanHagastaden,Stockholm,Lägenhet,Bostadsrätt,2,8,0,Yes,Yes,39.0,0.0,0.0,2011-present,2572.0,13750.0,2024-07-09,3.895,0.555,3.34
135,Solvändan 2B,Haga,Ume,Lägenhet,Bostadsrätt,2,1,3,No,Yes,54.7,0.0,0.0,1900-1950,3551.0,4364.0,2024-07-09,1.85,0.0,1.85
136,Västra stallmästaregatan 24A,Slottsstaden,Malm,Lägenhet,Bostadsrätt,4,1,4,No,Yes,100.0,0.0,0.0,1900-1950,5355.0,11400.0,2024-07-09,4.195,-0.2,4.395
137,Allévägen 3B,Barrsätra,Sandviken,Lägenhet,Bostadsrätt,2,0,0,No,Yes,52.5,0.0,0.0,1900-1950,3721.0,5200.0,2024-07-09,0.695,-0.07,0.765
138,"Rosengatan 3B, vån 3/3",CentralaSundbyberg,Sundbyberg,Lägenhet,Bostadsrätt,1,3,3,No,Yes,33.0,0.0,0.0,1900-1950,3375.0,13750.0,2024-07-09,2.395,0.05,2.345
139,Skogsgatan 7A,Centralt,Örnsköldsvik,Lägenhet,Bostadsrätt,2,1,3,No,Yes,50.5,0.0,0.0,1951-2000,3706.0,3800.0,2024-07-09,0.895,-0.085,0.98
140,Kabelverksgatan 44,Älvsjöstaden,Stockholm,Lägenhet,Bostadsrätt,2,4,6,Yes,Yes,48.0,0.0,0.0,2011-present,3776.0,13750.0,2024-07-09,2.795,0.12,2.675
141,Regnvädersgatan 3,Biskopsgården,Göteborg,Lägenhet,Bostadsrätt,3,7,7,Yes,Yes,72.0,0.0,0.0,1951-2000,3672.0,5400.0,2024-07-09,1.395,-0.045,1.44
