Municipality,Living_area,Built_on,House_type,Lift,Balcony,Final_Price
Stockholm,35.0,1900-1950,Lägenhet,Yes,Yes,2.93
Uppsal,53.0,1900-1950,Lägenhet,No,Yes,1.99
Kirun,54.0,1951-2000,Lägenhet,No,Yes,0.64
Nack,56.0,1951-2000,Lägenhet,Yes,Yes,3.17
Göteborg,70.0,2011-present,Lägenhet,Yes,Yes,3.54
Stockholm,46.0,1900-1950,Lägenhet,Yes,Yes,4.94
Uppsal,118.0,2011-present,Lägenhet,No,Yes,2.19
Stockholm,76.5,2011-present,Lägenhet,Yes,Yes,4.95
Stockholm,60.0,1900-1950,Lägenhet,No,Yes,5.78
Malm,50.5,1900-1950,Lägenhet,No,Yes,2.14
Helsingborg,113.0,1951-2000,Lägenhet,Yes,Yes,3.45
Göteborg,26.0,2011-present,Lägenhet,Yes,Yes,2.54
Stockholm,135.0,1900-1950,Lägenhet,Yes,No,16.35
Malm,25.5,1951-2000,Lägenhet,No,No,0.78
Sundsvall,75.5,1900-1950,Lägenhet,Yes,Yes,1.44
Göteborg,79.0,2011-present,Lägenhet,Yes,No,2.99
Gävl,114.0,1900-1950,Lägenhet,Yes,No,3.3
Ume,98.0,2011-present,Lägenhet,Yes,Yes,3.04
Växj,101.0,1951-2000,Lägenhet,Yes,Yes,2.64
Göteborg,42.0,1900-1950,Lägenhet,No,Yes,1.7
Borläng,53.5,1951-2000,Lägenhet,No,Yes,0.85
Örebr,53.0,2011-present,Lägenhet,Yes,Yes,2.04
Västerå,71.0,2011-present,Lägenhet,Yes,Yes,2.94
Stockholm,59.0,1900-1950,Lägenhet,Yes,No,5.59
Sollentun,64.0,1900-1950,Lägenhet,No,Yes,1.99
Göteborg,56.0,1900-1950,Lägenhet,No,No,3.58
Hudding,61.5,1951-2000,Lägenhet,Yes,Yes,1.34
Stockholm,26.0,1951-2000,Lägenhet,No,No,1.77
Stockholm,85.0,2011-present,Lägenhet,Yes,Yes,3.89
Täb,89.0,1951-2000,Lägenhet,Yes,Yes,3.19
Täb,113.0,2011-present,Lägenhet,Yes,No,5.4
Stockholm,58.0,2001-2010,Lägenhet,Yes,Yes,2.55
Uppsal,51.0,1900-1950,Lägenhet,No,Yes,1.51
Stockholm,57.0,1900-1950,Lägenhet,Yes,Yes,5.05
Soln,49.0,2001-2010,Lägenhet,Yes,Yes,2.83
Härnösand,39.8,1900-1950,Lägenhet,No,Yes,0.17
Uppsal,138.5,2001-2010,Lägenhet,Yes,Yes,5.45
Örnsköldsvik,31.0,2011-present,Lägenhet,No,Yes,0.61
Kalma,78.0,2011-present,Lägenhet,Yes,Yes,4.58
Malm,72.0,1951-2000,Lägenhet,Yes,Yes,1.22
Malm,92.0,2001-2010,Lägenhet,Yes,Yes,3.29
Malm,55.4,1900-1950,Lägenhet,No,Yes,1.86
Stockholm,50.0,1900-1950,Lägenhet,Yes,No,4.49
Malm,79.0,2011-present,Lägenhet,Yes,Yes,3.24
Stockholm,32.0,2011-present,Lägenhet,Yes,Yes,2.05
Haning,83.0,1951-2000,Lägenhet,Yes,Yes,1.39
Nack,88.0,1951-2000,Lägenhet,Yes,Yes,6.3
Stockholm,60.0,1900-1950,Lägenhet,No,Yes,7.17
Stockholm,47.2,Before 1900s,Lägenhet,Yes,No,4.17
Malm,129.0,Before 1900s,Lägenhet,Yes,Yes,4.39
Stockholm,37.0,1900-1950,Lägenhet,Yes,Yes,2.56
Stockholm,79.0,2011-present,Lägenhet,Yes,No,8.39
Uppsal,44.0,1951-2000,Lägenhet,No,Yes,1.5
Norrköping,58.0,1951-2000,Lägenhet,Yes,Yes,1.4
Uppsal,62.5,1900-1950,Lägenhet,No,Yes,2.38
Stockholm,71.0,2011-present,Lägenhet,Yes,Yes,10.42
Stockholm,81.0,1900-1950,Lägenhet,Yes,Yes,9.5
Soln,67.0,2011-present,Lägenhet,Yes,Yes,4.09
Täb,57.0,1951-2000,Lägenhet,Yes,Yes,2.35
Mölndal,41.0,1951-2000,Lägenhet,No,No,1.82
Linköping,74.0,1951-2000,Lägenhet,No,Yes,1.67
Nack,37.0,1951-2000,Lägenhet,Yes,Yes,1.54
Ume,30.5,2011-present,Lägenhet,No,Yes,0.96
Norrköping,66.5,1951-2000,Lägenhet,No,Yes,0.94
Staffanstorp,82.0,1951-2000,Lägenhet,No,Yes,1.79
Stockholm,53.5,1900-1950,Lägenhet,No,Yes,2.5
Oskarshamn,40.5,2011-present,Lägenhet,No,Yes,0.35
Stockholm,97.0,Before 1900s,Lägenhet,Yes,Yes,10.79
Österåker,50.0,2011-present,Lägenhet,Yes,No,2.4
Jönköping,82.0,1900-1950,Lägenhet,No,Yes,1.9
Hudding,51.0,2011-present,Lägenhet,Yes,Yes,2.79
Stockholm,61.5,1951-2000,Lägenhet,Yes,Yes,2.07
Helsingborg,57.0,2011-present,Lägenhet,No,Yes,1.84
Stockholm,44.5,1900-1950,Lägenhet,No,Yes,1.89
Malm,67.0,1951-2000,Lägenhet,No,Yes,2.25
Jönköping,64.8,1951-2000,Lägenhet,No,Yes,1.75
Kungälv,60.0,2011-present,Lägenhet,Yes,Yes,2.44
Stockholm,54.0,1900-1950,Lägenhet,No,Yes,3.29
Stockholm,26.0,2011-present,Lägenhet,Yes,No,2.1
Sjöb,59.0,1951-2000,Lägenhet,No,Yes,0.88
Liding,59.0,1951-2000,Lägenhet,Yes,Yes,3.39
Täb,47.0,1951-2000,Lägenhet,Yes,Yes,1.94
Arvik,60.0,2011-present,Lägenhet,No,Yes,0.4
Göteborg,52.5,1951-2000,Lägenhet,No,Yes,1.74
Malm,56.0,1951-2000,Lägenhet,Yes,Yes,1.82
Täb,80.5,1951-2000,Lägenhet,Yes,Yes,2.69
Stockholm,75.0,2011-present,Lägenhet,Yes,Yes,9.15
Malm,39.0,1900-1950,Lägenhet,No,No,1.83
Södertälj,25.0,2011-present,Lägenhet,No,No,1.01
Liding,60.0,2011-present,Lägenhet,Yes,Yes,4.44
Haparand,69.5,1951-2000,Lägenhet,No,Yes,0.11
Karlstad,63.1,1951-2000,Lägenhet,No,Yes,1.75
Göteborg,66.9,1951-2000,Lägenhet,Yes,Yes,1.34
Malm,40.0,2011-present,Lägenhet,Yes,Yes,1.8
Varberg,56.0,1900-1950,Lägenhet,No,Yes,2.11
Nack,84.0,2011-present,Lägenhet,No,Yes,5.74
Helsingborg,38.0,1900-1950,Lägenhet,Yes,Yes,2.09
Al,44.8,1900-1950,Lägenhet,No,No,1.23
Linköping,58.0,1951-2000,Lägenhet,No,Yes,1.69
Stockholm,52.0,2001-2010,Lägenhet,Yes,Yes,2.6
Motal,72.0,1951-2000,Lägenhet,No,No,1.42
Sundsvall,43.5,1951-2000,Lägenhet,Yes,No,0.98
Linköping,68.0,1951-2000,Lägenhet,Yes,No,2.33
Ume,90.0,2011-present,Lägenhet,Yes,No,2.49
Ludvik,70.1,2011-present,Lägenhet,No,No,0.89
Fal,85.0,1951-2000,Lägenhet,Yes,No,1.8
Stockholm,36.0,2001-2010,Lägenhet,Yes,No,2.09
Norrtälj,53.0,2011-present,Lägenhet,No,No,2.18
Sundsvall,86.5,1951-2000,Lägenhet,Yes,No,2.0
Vänersborg,67.5,1951-2000,Lägenhet,No,No,0.26
Stockholm,65.0,1900-1950,Lägenhet,No,No,4.87
Nack,109.0,2011-present,Lägenhet,No,No,8.2
Norrköping,63.0,2011-present,Lägenhet,No,No,1.59
Danderyd,60.0,1951-2000,Lägenhet,No,No,2.94
Hudiksvall,71.0,1951-2000,Lägenhet,No,No,1.4
Al,45.0,1951-2000,Lägenhet,No,No,1.79
Göteborg,97.0,2011-present,Lägenhet,No,No,2.7
Göteborg,49.0,1900-1950,Lägenhet,No,No,1.65
Stockholm,43.0,1951-2000,Lägenhet,No,No,1.99
Hudiksvall,89.0,1900-1950,Lägenhet,No,No,1.04
Stockholm,31.0,1900-1950,Lägenhet,Yes,No,3.68
Ängelholm,61.5,2011-present,Lägenhet,No,No,0.62
Ume,76.0,1951-2000,Lägenhet,No,No,2.45
Göteborg,52.0,1900-1950,Lägenhet,No,No,1.83
Stockholm,190.0,1900-1950,Lägenhet,No,No,16.25
Skellefte,79.0,2011-present,Lägenhet,No,No,1.18
Stockholm,31.0,1900-1950,Lägenhet,No,No,3.74
Stockholm,64.0,Before 1900s,Lägenhet,No,No,5.69
Österåker,46.0,1951-2000,Lägenhet,Yes,No,2.2
Stockholm,40.0,1900-1950,Lägenhet,No,No,2.5
Boden,72.0,1900-1950,Lägenhet,No,No,0.93
Oxelösund,39.0,1951-2000,Lägenhet,No,No,0.3
Västerå,20.1,1951-2000,Lägenhet,No,No,0.46
Helsingborg,114.0,2011-present,Lägenhet,No,No,3.24
Västervik,60.7,1951-2000,Lägenhet,No,No,0.54
Norrtälj,97.8,2011-present,Lägenhet,No,No,1.57
Danderyd,78.4,2011-present,Lägenhet,Yes,No,4.18
Örebr,90.0,2001-2010,Lägenhet,Yes,No,2.2
Hofor,57.0,2011-present,Lägenhet,No,No,0.17
Söderhamn,58.5,1951-2000,Lägenhet,Yes,No,0.65
Mölndal,19.5,1951-2000,Lägenhet,No,No,1.09
Södertälj,33.0,1900-1950,Lägenhet,No,No,0.9
Stockholm,36.0,1900-1950,Lägenhet,Yes,No,3.19
Soln,59.0,1951-2000,Lägenhet,Yes,No,2.79
Karlskron,32.0,2011-present,Lägenhet,Yes,No,1.42
Göteborg,66.2,1951-2000,Lägenhet,No,No,2.44
Trollhättan,65.0,2011-present,Lägenhet,No,No,0.83
Mariestad,81.0,1951-2000,Lägenhet,No,No,0.3
Norrtälj,53.8,1951-2000,Lägenhet,Yes,No,0.77
Söderhamn,47.5,1951-2000,Lägenhet,Yes,No,0.37
Stockholm,85.0,2011-present,Lägenhet,No,No,4.52
Stockholm,56.0,2011-present,Lägenhet,No,No,7.85
Stockholm,37.5,1900-1950,Lägenhet,No,No,3.64
Stockholm,70.0,1900-1950,Lägenhet,No,No,9.1
Stockholm,37.0,2011-present,Lägenhet,No,No,3.34
Lund,63.2,1900-1950,Lägenhet,No,No,3.47
Västerå,49.0,2011-present,Lägenhet,Yes,No,1.03
Lidköping,37.0,1951-2000,Lägenhet,No,No,0.45
Karlstad,61.0,2011-present,Lägenhet,No,No,0.46
Stockholm,43.0,1900-1950,Lägenhet,Yes,No,4.17
Söderhamn,26.8,1951-2000,Lägenhet,Yes,No,0.29
Hudding,73.0,1951-2000,Lägenhet,Yes,No,1.79
Malm,73.0,2011-present,Lägenhet,Yes,No,3.34
Bjuv,56.0,1951-2000,Lägenhet,No,No,0.42
Stockholm,75.0,2011-present,Lägenhet,No,No,5.89
Stockholm,53.0,2011-present,Lägenhet,No,No,2.92
Nack,23.5,2011-present,Lägenhet,No,No,1.69
Stockholm,105.0,2011-present,Lägenhet,No,No,4.99
Stockholm,22.5,1900-1950,Lägenhet,Yes,No,1.79
Lule,77.0,1951-2000,Lägenhet,Yes,No,1.84
ÖstraGöing,99.5,2011-present,Lägenhet,No,No,0.55
Stockholm,44.0,1900-1950,Lägenhet,Yes,No,4.25
Södertälj,58.0,1951-2000,Lägenhet,Yes,No,0.9
Norrköping,43.0,1900-1950,Lägenhet,No,No,1.32
Haning,24.0,2011-present,Lägenhet,No,No,1.1
Stockholm,46.0,1900-1950,Lägenhet,Yes,No,4.54
Stockholm,49.0,1900-1950,Lägenhet,No,No,2.49
Ronneb,40.0,2011-present,Lägenhet,No,No,0.37
Karlsborg,32.5,1951-2000,Lägenhet,Yes,No,0.24
Sigtun,63.0,1951-2000,Lägenhet,No,No,1.33
Kungsör,104.5,1951-2000,Lägenhet,No,No,1.49
Lund,86.0,2011-present,Lägenhet,Yes,No,3.79
Stockholm,35.0,1900-1950,Lägenhet,No,No,2.14
Värnam,68.5,2011-present,Lägenhet,No,No,1.03
Arbog,78.0,1951-2000,Lägenhet,No,No,0.43
Borläng,61.5,1951-2000,Lägenhet,Yes,No,1.25
Stockholm,36.5,1951-2000,Lägenhet,No,No,1.48
Falköping,110.0,2011-present,Lägenhet,No,No,1.85
Norrtälj,64.0,1951-2000,Lägenhet,No,No,0.8
Linköping,32.0,1951-2000,Lägenhet,Yes,No,1.6
Stockholm,94.0,1900-1950,Lägenhet,No,No,9.7
Stockholm,33.0,1900-1950,Lägenhet,No,No,3.65
Finspång,62.0,2011-present,Lägenhet,No,No,0.55
Göteborg,26.0,2011-present,Lägenhet,No,No,1.75
Essung,108.0,1951-2000,Lägenhet,No,No,0.95
Strömstad,100.0,2011-present,Lägenhet,No,No,6.6
Hudding,87.0,2011-present,Lägenhet,Yes,No,3.89
Stockholm,83.0,2011-present,Lägenhet,No,No,6.83
Stockholm,71.0,1951-2000,Lägenhet,No,No,2.17
Vaxholm,103.0,2011-present,Lägenhet,Yes,No,6.25
Stockholm,40.0,1900-1950,Lägenhet,No,No,2.88
Stockholm,76.0,1900-1950,Lägenhet,Yes,No,6.65
Värmd,50.0,2011-present,Lägenhet,No,No,2.37
Malm,75.0,1951-2000,Lägenhet,No,No,1.44
Ystad,55.0,1951-2000,Lägenhet,Yes,No,1.08
Boden,57.0,2011-present,Lägenhet,No,No,0.75
Liding,96.0,2011-present,Lägenhet,No,No,5.9
Karlstad,31.0,1951-2000,Lägenhet,No,No,0.9
Stockholm,56.0,1900-1950,Lägenhet,No,No,3.09
Vårgård,46.0,1951-2000,Lägenhet,No,No,0.63
Skurup,42.5,1900-1950,Lägenhet,No,No,1.11
Stockholm,94.0,Before 1900s,Lägenhet,Yes,No,9.78
Enköping,34.2,1951-2000,Lägenhet,No,No,0.8
Norrtälj,38.3,2011-present,Lägenhet,No,No,0.61
Sjöb,68.0,1900-1950,Lägenhet,No,No,0.64
Hudiksvall,36.0,2011-present,Lägenhet,No,No,0.53
Stockholm,30.8,1900-1950,Lägenhet,No,No,2.47
Stockholm,67.0,2011-present,Lägenhet,No,No,6.54
Stockholm,78.0,1900-1950,Lägenhet,No,No,5.19
Stockholm,35.0,1900-1950,Lägenhet,Yes,No,3.04
Fal,89.5,2011-present,Lägenhet,No,No,2.75
Stockholm,84.0,2011-present,Lägenhet,Yes,No,3.04
Falkenberg,73.0,2011-present,Lägenhet,Yes,No,2.7
Västerå,46.0,1951-2000,Lägenhet,Yes,No,0.53
Stockholm,95.0,Before 1900s,Lägenhet,Yes,No,8.89
Mölndal,59.5,1951-2000,Lägenhet,No,No,1.89
Helsingborg,131.5,1900-1950,Lägenhet,No,No,5.59
Norrköping,61.0,2011-present,Lägenhet,No,No,1.12
Örebr,72.0,1951-2000,Lägenhet,Yes,No,1.51
LillaEdet,64.2,2011-present,Lägenhet,No,No,1.02
Stockholm,40.0,1900-1950,Lägenhet,No,No,4.49
Alingså,41.0,2011-present,Lägenhet,No,No,1.28
Nack,90.0,1951-2000,Lägenhet,No,No,2.75
Kristinehamn,78.0,1951-2000,Lägenhet,No,No,1.0
Göteborg,35.0,1900-1950,Lägenhet,No,No,2.0
Stockholm,25.0,2011-present,Lägenhet,No,No,2.29
Orus,35.0,2011-present,Lägenhet,No,No,2.4
Soln,30.0,2011-present,Lägenhet,No,No,2.34
Stockholm,42.5,2011-present,Lägenhet,No,No,1.69
Stockholm,44.0,Before 1900s,Lägenhet,No,No,4.98
Stockholm,60.0,2011-present,Lägenhet,No,No,6.14
Stockholm,63.5,2011-present,Lägenhet,No,No,2.97
Norrtälj,34.0,2011-present,Lägenhet,No,No,1.08
Uppsal,80.0,1951-2000,Lägenhet,Yes,No,2.44
Ängelholm,48.0,2011-present,Lägenhet,No,No,3.29
Vallentun,64.0,1900-1950,Lägenhet,No,No,2.27
Helsingborg,110.0,1900-1950,Lägenhet,Yes,No,3.19
Karlshamn,40.0,1951-2000,Lägenhet,No,No,0.5
Täb,54.3,2011-present,Lägenhet,No,No,1.8
Stockholm,63.0,2011-present,Lägenhet,No,No,4.19
Lidköping,61.0,1900-1950,Lägenhet,Yes,No,0.5
Gotland,139.0,2011-present,Lägenhet,No,No,7.0
Malm,88.5,1951-2000,Lägenhet,Yes,No,3.5
Östhammar,81.0,2011-present,Lägenhet,Yes,No,2.85
Uppsal,53.0,1900-1950,Lägenhet,No,No,1.79
Kirun,70.4,1951-2000,Lägenhet,No,No,0.93
Mölndal,68.5,2011-present,Lägenhet,No,No,2.05
Göteborg,83.0,2011-present,Lägenhet,Yes,No,3.36
Växj,66.0,2011-present,Lägenhet,No,No,2.0
Botkyrk,75.5,2001-2010,Lägenhet,Yes,No,2.6
Skellefte,56.5,1951-2000,Lägenhet,No,No,1.0
Soln,25.0,1951-2000,Lägenhet,Yes,No,1.57
Stockholm,59.0,2011-present,Lägenhet,No,No,6.93
Botkyrk,40.0,1951-2000,Lägenhet,No,No,1.39
Haning,78.0,1951-2000,Lägenhet,No,No,1.48
Stockholm,44.0,1900-1950,Lägenhet,No,No,2.34
Östersund,65.0,2011-present,Lägenhet,No,No,1.4
Malm,97.0,2011-present,Lägenhet,No,No,2.14
Stenungsund,63.5,1951-2000,Lägenhet,No,No,1.54
Värmd,81.0,2011-present,Lägenhet,Yes,No,4.89
Värnam,43.5,2011-present,Lägenhet,No,No,0.27
Västervik,64.5,1951-2000,Lägenhet,Yes,No,1.42
Strängnä,68.0,2011-present,Lägenhet,No,No,1.94
Soln,42.0,2011-present,Lägenhet,Yes,No,3.04
Danderyd,113.0,2011-present,Lägenhet,Yes,No,6.64
Lund,74.5,1900-1950,Lägenhet,No,No,3.29
Haning,65.5,1951-2000,Lägenhet,No,No,1.8
Stockholm,46.0,1900-1950,Lägenhet,Yes,No,4.89
Kungälv,55.0,2011-present,Lägenhet,No,No,2.54
Borå,77.0,2011-present,Lägenhet,Yes,No,2.99
Stockholm,61.0,1900-1950,Lägenhet,Yes,No,4.37
Falköping,80.0,1951-2000,Lägenhet,Yes,No,0.89
Malm,40.0,1951-2000,Lägenhet,No,No,0.97
Vaxholm,81.0,2011-present,Lägenhet,Yes,No,5.0
Oskarshamn,77.0,2011-present,Lägenhet,Yes,No,0.83
Örebr,54.0,2011-present,Lägenhet,No,No,1.54
Falköping,42.0,1951-2000,Lägenhet,No,No,0.29
Kungsback,65.5,1951-2000,Lägenhet,No,No,2.34
Soln,64.0,1951-2000,Lägenhet,Yes,No,2.46
Stockholm,28.0,1900-1950,Lägenhet,No,No,2.59
Karlskog,29.0,2011-present,Lägenhet,No,No,0.17
Stockholm,57.0,Before 1900s,Lägenhet,No,No,6.25
Göteborg,76.6,2011-present,Lägenhet,Yes,No,2.69
Täb,25.0,2011-present,Lägenhet,Yes,No,1.4
Velling,86.0,2001-2010,Lägenhet,Yes,No,2.58
Uppsal,20.2,1951-2000,Lägenhet,No,No,1.44
Tros,69.0,2011-present,Lägenhet,No,No,1.9
Liding,78.5,1951-2000,Lägenhet,No,No,4.49
Värmd,43.5,2011-present,Lägenhet,No,No,2.25
Nyköping,99.5,1951-2000,Lägenhet,Yes,No,2.35
Liding,112.0,2001-2010,Lägenhet,Yes,Yes,8.65
Värmd,129.0,2011-present,Lägenhet,No,Yes,4.47
Nack,102.0,2001-2010,Lägenhet,Yes,Yes,5.3
Soln,77.0,2001-2010,Lägenhet,Yes,Yes,4.49
Heb,77.3,2011-present,Lägenhet,No,No,2.04
Stockholm,52.0,2011-present,Lägenhet,No,No,4.49
Västerå,71.0,2011-present,Lägenhet,No,No,0.68
Göteborg,119.0,2011-present,Lägenhet,No,Yes,5.9
Västerå,112.0,2001-2010,Lägenhet,Yes,No,4.5
År,53.0,2011-present,Lägenhet,No,No,3.15
Stockholm,90.5,1951-2000,Lägenhet,No,Yes,5.24
Malm,67.0,2011-present,Lägenhet,No,No,1.92
Malm,82.5,1951-2000,Lägenhet,No,Yes,1.8
Soln,96.0,2011-present,Lägenhet,No,Yes,5.2
Göteborg,56.0,2011-present,Lägenhet,No,No,3.59
Göteborg,80.0,2011-present,Lägenhet,Yes,Yes,4.13
Uppsal,78.5,1951-2000,Lägenhet,No,No,2.7
Strängnä,109.0,2011-present,Lägenhet,No,No,2.75
Härnösand,62.1,1951-2000,Lägenhet,No,Yes,0.21
Haning,68.0,2011-present,Lägenhet,No,No,3.44
Varberg,106.6,2011-present,Lägenhet,Yes,Yes,5.3
Borå,72.0,1900-1950,Lägenhet,No,No,2.39
Järfäll,80.0,2011-present,Lägenhet,Yes,No,3.09
Linköping,83.0,2011-present,Lägenhet,No,No,2.49
Jönköping,95.0,1900-1950,Lägenhet,No,No,3.05
Skellefte,70.5,2011-present,Lägenhet,No,No,1.32
Klippan,68.0,1951-2000,Lägenhet,Yes,No,0.49
Timr,75.5,1951-2000,Lägenhet,No,Yes,0.55
Linköping,33.9,2011-present,Lägenhet,Yes,No,1.52
Örebr,65.0,1951-2000,Lägenhet,Yes,No,1.84
Skellefte,80.0,2011-present,Lägenhet,No,No,1.7
Uppsal,66.0,1951-2000,Lägenhet,No,No,1.14
Gävl,78.5,2011-present,Lägenhet,No,No,1.79
Jönköping,124.0,1951-2000,Lägenhet,Yes,Yes,2.6
Sundsvall,86.5,1900-1950,Lägenhet,No,Yes,2.29
År,70.0,2011-present,Lägenhet,No,Yes,2.8
Ystad,82.0,2011-present,Lägenhet,No,Yes,1.64
Stockholm,82.0,2011-present,Lägenhet,No,No,3.39
Uppsal,60.3,2011-present,Lägenhet,No,No,1.8
Kalma,32.0,2011-present,Lägenhet,Yes,No,1.25
Haning,82.0,2011-present,Lägenhet,No,No,2.3
Stockholm,50.5,1951-2000,Lägenhet,Yes,Yes,3.89
Nack,74.0,2011-present,Lägenhet,No,No,3.66
Sundsvall,80.8,2011-present,Lägenhet,No,No,2.3
Nack,66.7,2011-present,Lägenhet,No,No,1.92
UpplandsVäsb,54.0,2011-present,Lägenhet,No,No,1.5
Göteborg,51.0,2011-present,Lägenhet,No,No,3.1
Malm,77.0,1951-2000,Lägenhet,No,No,2.32
Lund,82.0,2011-present,Lägenhet,Yes,Yes,3.64
Växj,99.0,2011-present,Lägenhet,Yes,No,3.19
Lerum,74.0,2011-present,Lägenhet,Yes,No,3.11
Sundsvall,115.5,2011-present,Lägenhet,No,No,1.59
Strängnä,77.8,1951-2000,Lägenhet,No,No,1.38
Järfäll,61.5,2001-2010,Lägenhet,Yes,No,2.09
Enköping,72.0,2011-present,Lägenhet,No,No,1.7
Ume,52.5,1951-2000,Lägenhet,No,Yes,1.15
Sundsvall,96.5,2011-present,Lägenhet,No,Yes,1.2
Linköping,50.0,1951-2000,Lägenhet,Yes,No,1.51
Jönköping,56.5,1951-2000,Lägenhet,No,Yes,1.75
Helsingborg,95.0,1951-2000,Lägenhet,Yes,Yes,2.29
Kristinehamn,41.0,1900-1950,Lägenhet,Yes,Yes,0.24
Sundbyberg,82.3,2011-present,Lägenhet,No,No,2.99
Västerå,82.0,2011-present,Lägenhet,Yes,Yes,2.65
Stockholm,90.5,1951-2000,Lägenhet,No,Yes,5.19
Tidaholm,96.5,1951-2000,Lägenhet,No,Yes,0.75
Nack,94.0,2011-present,Lägenhet,Yes,Yes,5.14
Falkenberg,89.0,1951-2000,Lägenhet,No,Yes,1.26
Uppsal,67.5,2011-present,Lägenhet,No,Yes,2.5
Stockholm,48.5,2011-present,Lägenhet,No,No,2.81
Hässleholm,108.0,2011-present,Lägenhet,No,No,1.04
Kungsback,75.0,Before 1900s,Lägenhet,No,No,4.44
Göteborg,103.0,2011-present,Lägenhet,No,No,3.19
Stockholm,24.0,2011-present,Lägenhet,No,No,1.84
Staffanstorp,66.0,1951-2000,Lägenhet,No,No,1.64
Uddevall,78.0,1951-2000,Lägenhet,No,Yes,1.07
Uppsal,79.0,2011-present,Lägenhet,Yes,No,3.0
Stockholm,95.0,1951-2000,Lägenhet,Yes,Yes,2.8
Trelleborg,121.0,2011-present,Lägenhet,No,No,2.34
Lund,69.4,2011-present,Lägenhet,Yes,No,2.54
Stockholm,50.0,Before 1900s,Lägenhet,No,Yes,6.4
Stockholm,49.0,2011-present,Lägenhet,No,No,1.8
Sollentun,62.5,2011-present,Lägenhet,No,No,3.14
Östersund,67.5,1951-2000,Lägenhet,No,Yes,1.47
Staffanstorp,77.1,2011-present,Lägenhet,Yes,No,2.44
Göteborg,93.0,2001-2010,Lägenhet,Yes,Yes,3.89
Lund,68.0,1951-2000,Lägenhet,No,No,2.49
Lund,68.0,1951-2000,Lägenhet,No,No,2.49
Sundsvall,63.5,2011-present,Lägenhet,No,No,0.83
Göteborg,59.0,2011-present,Lägenhet,Yes,No,2.7
Kalma,64.0,1951-2000,Lägenhet,Yes,No,1.5
Härjedalen,76.0,2011-present,Lägenhet,No,No,2.28
Stockholm,58.0,Before 1900s,Lägenhet,Yes,Yes,5.7
Haning,55.5,1951-2000,Lägenhet,No,No,2.4
Göteborg,70.0,1900-1950,Lägenhet,No,No,4.49
Falkenberg,89.0,1951-2000,Lägenhet,No,Yes,1.0
Eskilstun,73.0,2011-present,Lägenhet,Yes,Yes,3.3
Sigtun,67.0,2001-2010,Lägenhet,Yes,No,2.4
Stockholm,38.0,2011-present,Lägenhet,No,No,3.16
Malm,86.0,2011-present,Lägenhet,Yes,No,4.42
Vallentun,71.0,1951-2000,Lägenhet,No,No,2.55
Göteborg,106.0,1900-1950,Lägenhet,No,Yes,4.9
Göteborg,109.0,2011-present,Lägenhet,Yes,No,4.39
År,29.0,1951-2000,Lägenhet,No,No,1.95
Nack,67.0,1951-2000,Lägenhet,Yes,Yes,2.19
Kungälv,83.0,2011-present,Lägenhet,No,No,6.23
UpplandsVäsb,34.5,2011-present,Lägenhet,Yes,Yes,1.5
Strängnä,62.0,2011-present,Lägenhet,No,No,2.4
Örnsköldsvik,57.1,1900-1950,Lägenhet,No,Yes,1.0
Stockholm,92.0,1900-1950,Lägenhet,Yes,No,6.39
Stockholm,66.0,2001-2010,Lägenhet,Yes,Yes,3.97
Trelleborg,72.0,2011-present,Lägenhet,Yes,No,1.69
Borå,281.0,2011-present,Villa,No,No,16.0
Värnam,90.0,1951-2000,Villa,No,No,1.34
Bromöll,122.0,1951-2000,Villa,No,No,2.79
Halmstad,142.0,1951-2000,Villa,No,No,7.4
Motal,134.0,1951-2000,Villa,No,No,2.8
Stockholm,128.0,1900-1950,Villa,No,No,9.48
Oxelösund,138.0,1951-2000,Villa,No,No,3.5
Eskilstun,167.0,1951-2000,Villa,No,No,15.7
Borläng,88.0,1900-1950,Villa,No,No,1.79
Kungsback,212.0,1951-2000,Villa,No,No,8.2
Ystad,80.0,1900-1950,Villa,No,No,4.37
Åstorp,135.0,1951-2000,Villa,No,No,2.5
Västerå,130.0,1951-2000,Villa,No,No,3.87
Skurup,98.0,Before 1900s,Villa,No,No,0.59
Svedal,108.0,1951-2000,Villa,No,No,3.15
Svedal,118.0,1951-2000,Villa,No,No,4.1
Halmstad,78.0,1951-2000,Villa,No,No,3.35
Tros,104.0,2011-present,Villa,No,No,6.9
Uddevall,117.0,1951-2000,Villa,No,No,2.39
Ängelholm,188.0,1900-1950,Villa,No,No,5.55
Tomelill,170.0,2001-2010,Villa,No,No,3.45
Svedal,239.0,1951-2000,Villa,No,No,4.4
Östersund,132.0,1900-1950,Villa,No,No,3.29
Göteborg,60.0,1951-2000,Villa,No,No,3.89
Sollentun,150.0,1900-1950,Villa,No,No,12.89
Eslöv,90.0,1900-1950,Villa,No,No,1.34
Malm,105.0,1900-1950,Villa,No,No,4.09
Norrtälj,73.0,1951-2000,Villa,No,No,2.3
Örebr,165.0,2001-2010,Villa,No,No,5.5
Västerå,80.0,1951-2000,Villa,No,No,2.39
Mölndal,123.0,1900-1950,Villa,No,No,4.14
Lule,172.0,1951-2000,Villa,No,No,5.29
Lule,106.0,1900-1950,Villa,No,No,4.74
Bromöll,131.0,1951-2000,Villa,No,No,2.74
Botkyrk,116.0,1951-2000,Villa,No,No,3.34
