Municipality,Living_area,Built_on,House_type,Lift,Balcony,Final_Price
Östhammar,62.6,1900-1950,Lägenhet,No,Yes,1.54
Sundsvall,40.0,1951-2000,Lägenhet,Yes,No,0.37
Jönköping,77.5,1951-2000,Lägenhet,No,Yes,1.48
Karlstad,75.5,1951-2000,Lägenhet,No,Yes,0.84
Stockholm,122.0,1951-2000,Lägenhet,Yes,Yes,5.74
Stockholm,72.0,Before 1900s,Lägenhet,Yes,Yes,7.69
Landskron,99.0,2011-present,Lägenhet,No,Yes,1.7
Liding,78.7,1951-2000,Lägenhet,No,Yes,4.85
Stockholm,55.0,2011-present,Lägenhet,Yes,Yes,2.64
Södertälj,74.0,1951-2000,Lägenhet,Yes,Yes,1.54
Stockholm,76.0,1951-2000,Lägenhet,Yes,Yes,2.39
Uppsal,79.7,1951-2000,Lägenhet,No,Yes,2.0
Stockholm,55.0,2011-present,Lägenhet,Yes,Yes,3.59
Uppsal,92.2,2001-2010,Lägenhet,Yes,Yes,3.47
Södertälj,74.5,1951-2000,Lägenhet,Yes,Yes,1.89
Lerum,79.0,2001-2010,Lägenhet,No,Yes,3.1
Stockholm,76.5,2001-2010,Lägenhet,Yes,Yes,6.54
Uppsal,65.2,1951-2000,Lägenhet,Yes,Yes,2.67
Norrköping,68.0,1951-2000,Lägenhet,Yes,Yes,1.09
Liding,91.5,1951-2000,Lägenhet,Yes,Yes,6.4
Järfäll,97.3,1951-2000,Lägenhet,Yes,Yes,1.99
Sal,60.0,1951-2000,Lägenhet,No,Yes,1.21
Sundbyberg,79.0,2011-present,Lägenhet,Yes,Yes,5.44
Tyres,35.0,2011-present,Lägenhet,Yes,Yes,1.74
Staffanstorp,74.0,2011-present,Lägenhet,Yes,Yes,2.1
Malm,71.0,1951-2000,Lägenhet,No,Yes,1.09
Södertälj,84.1,1951-2000,Lägenhet,Yes,Yes,1.84
Danderyd,57.6,1951-2000,Lägenhet,Yes,Yes,3.41
Nack,57.0,2011-present,Lägenhet,Yes,Yes,4.19
Hudding,74.0,2011-present,Lägenhet,No,Yes,2.38
Värmd,87.0,2011-present,Lägenhet,Yes,Yes,4.8
Stockholm,57.0,1951-2000,Lägenhet,No,Yes,1.9
Västerå,40.5,1951-2000,Lägenhet,No,Yes,1.01
Vänersborg,40.0,1951-2000,Lägenhet,No,Yes,0.47
Stockholm,62.5,1951-2000,Lägenhet,No,Yes,1.7
Båstad,37.5,2011-present,Lägenhet,No,Yes,1.7
Borläng,75.9,1951-2000,Lägenhet,No,Yes,1.45
Göteborg,84.5,2001-2010,Lägenhet,Yes,Yes,3.28
Eskilstun,78.0,2011-present,Lägenhet,No,Yes,1.45
Nack,66.0,1951-2000,Lägenhet,Yes,Yes,2.09
Stockholm,83.5,2011-present,Lägenhet,Yes,Yes,8.35
Stockholm,55.0,2011-present,Lägenhet,Yes,Yes,2.19
Ystad,65.0,2011-present,Lägenhet,No,Yes,1.08
Jönköping,93.0,2011-present,Lägenhet,Yes,Yes,5.1
Ume,123.5,1951-2000,Lägenhet,No,No,2.27
Stockholm,37.0,Before 1900s,Lägenhet,Yes,Yes,3.9
Stockholm,65.0,1900-1950,Lägenhet,No,Yes,6.18
Malm,125.0,1900-1950,Lägenhet,Yes,Yes,7.84
Stockholm,47.0,1900-1950,Lägenhet,No,Yes,2.79
Stockholm,60.0,2001-2010,Lägenhet,Yes,Yes,4.7
Nack,90.5,1951-2000,Lägenhet,Yes,Yes,5.79
Uppsal,49.0,2011-present,Lägenhet,Yes,Yes,1.8
Göteborg,55.7,1951-2000,Lägenhet,No,Yes,2.1
Uppsal,77.0,2011-present,Lägenhet,Yes,Yes,3.14
Göteborg,54.0,1951-2000,Lägenhet,Yes,No,2.99
Mölndal,66.0,2001-2010,Lägenhet,No,Yes,3.09
Uppsal,36.0,2011-present,Lägenhet,Yes,Yes,1.9
Hab,55.0,2011-present,Lägenhet,No,Yes,1.53
Stockholm,57.0,1951-2000,Lägenhet,No,Yes,2.8
Göteborg,39.5,2011-present,Lägenhet,Yes,Yes,2.36
Nack,57.6,2011-present,Lägenhet,No,Yes,3.3
